user_id,trial_date,subject,upgraded_to,days_to_upgrade,upgrade_date,upgrade_revenue
U0083,2024-10-03,Mathematics,Monthly,26,2024-10-29,149
U0289,2024-10-10,Science,Monthly,19,2024-10-29,149
U0373,2024-10-13,Science,Monthly,23,2024-11-05,149
U0062,2024-10-13,Science,Term,49,2024-12-01,399
U0430,2024-10-14,Biology,Monthly,8,2024-10-22,149
U0455,2024-10-15,Science,Term,16,2024-10-31,399
U0528,2024-10-18,English,Monthly,9,2024-10-27,149
U0622,2024-10-21,Physics,Term,21,2024-11-11,399
U0484,2024-10-21,English,Monthly,25,2024-11-15,149
U0323,2024-10-23,Biology,Monthly,17,2024-11-09,149
U0714,2024-10-23,Science,Monthly,11,2024-11-03,149
U0225,2024-10-31,Mathematics,Monthly,19,2024-11-19,149
U1003,2024-11-01,Mathematics,Monthly,24,2024-11-25,149
U1012,2024-11-01,Science,Monthly,10,2024-11-11,149
U0827,2024-11-02,Mathematics,Monthly,14,2024-11-16,149
U0845,2024-11-03,Chemistry,Term,22,2024-11-25,399
U1141,2024-11-03,English,Term,43,2024-12-16,399
U1153,2024-11-04,English,Monthly,10,2024-11-14,149
U0219,2024-11-04,Physics,Monthly,24,2024-11-28,149
U0151,2024-11-05,Mathematics,Term,23,2024-11-28,399
U1288,2024-11-06,Science,Monthly,8,2024-11-14,149
U1321,2024-11-07,Mathematics,Monthly,27,2024-12-04,149
U1333,2024-11-07,Mathematics,Monthly,14,2024-11-21,149
U1429,2024-11-09,Mathematics,Term,37,2024-12-16,399
U1431,2024-11-09,English,Term,18,2024-11-27,399
U1444,2024-11-09,Physics,Monthly,18,2024-11-27,149
U1524,2024-11-11,Chemistry,Monthly,12,2024-11-23,149
U1530,2024-11-11,English,Monthly,26,2024-12-07,149
U0180,2024-11-12,Chemistry,Term,46,2024-12-28,399
U1619,2024-11-12,Mathematics,Monthly,22,2024-12-04,149
U1709,2024-11-14,Chemistry,Term,49,2025-01-02,399
U1716,2024-11-14,Physics,Monthly,13,2024-11-27,149
U1720,2024-11-14,English,Monthly,17,2024-12-01,149
U0463,2024-11-15,Mathematics,Term,17,2024-12-02,399
U1812,2024-11-16,English,Monthly,8,2024-11-24,149
U0261,2024-11-16,Mathematics,Monthly,14,2024-11-30,149
U1449,2024-11-17,English,Term,51,2025-01-07,399
U1621,2024-11-18,Chemistry,Term,41,2024-12-29,399
U1954,2024-11-19,English,Term,33,2024-12-22,399
U1969,2024-11-19,Physics,Monthly,29,2024-12-18,149
U2220,2024-11-24,English,Monthly,17,2024-12-11,149
U1187,2024-11-24,English,Monthly,17,2024-12-11,149
U2335,2024-11-26,Mathematics,Monthly,29,2024-12-25,149
U2124,2024-11-28,Mathematics,Term,20,2024-12-18,399
U2544,2024-11-30,Mathematics,Term,25,2024-12-25,399
U2177,2024-12-04,Chemistry,Monthly,17,2024-12-21,149
U0754,2024-12-09,Mathematics,Monthly,20,2024-12-29,149
U2772,2024-12-10,English,Term,20,2024-12-30,399
U2774,2024-12-10,Physics,Monthly,14,2024-12-24,149
U2776,2024-12-10,Mathematics,Monthly,12,2024-12-22,149
U2809,2024-12-12,English,Term,53,2025-02-03,399
U2826,2024-12-13,Physics,Monthly,26,2025-01-08,149
U2899,2024-12-16,Science,Term,25,2025-01-10,399
U2661,2024-12-16,English,Term,34,2025-01-19,399
U2180,2024-12-21,Science,Term,43,2025-02-02,399
U2385,2024-12-26,English,Monthly,8,2025-01-03,149
U3142,2024-12-26,Physics,Monthly,27,2025-01-22,149
U2963,2024-12-27,Chemistry,Monthly,18,2025-01-14,149
U0227,2024-12-27,Science,Monthly,12,2025-01-08,149
U2682,2024-12-30,Chemistry,Monthly,16,2025-01-15,149
U3228,2024-12-30,Science,Monthly,27,2025-01-26,149
U3287,2025-01-02,Chemistry,Term,15,2025-01-17,399
U3363,2025-01-05,Science,Monthly,10,2025-01-15,149
U3387,2025-01-06,Biology,Term,22,2025-01-28,399
U3467,2025-01-10,Science,Monthly,8,2025-01-18,149
U3518,2025-01-12,English,Term,24,2025-02-05,399
U1182,2025-01-14,Physics,Monthly,25,2025-02-08,149
U0934,2025-01-15,Mathematics,Term,38,2025-02-22,399
U3601,2025-01-16,Chemistry,Term,41,2025-02-26,399
U3807,2025-01-25,Science,Monthly,10,2025-02-04,149
U3836,2025-01-27,Science,Term,26,2025-02-22,399
U3844,2025-01-27,Science,Monthly,28,2025-02-24,149
U3890,2025-01-29,English,Monthly,11,2025-02-09,149
U3899,2025-01-29,Science,Monthly,27,2025-02-25,149
U3910,2025-01-30,Mathematics,Monthly,22,2025-02-21,149
U0268,2025-02-01,Mathematics,Monthly,18,2025-02-19,149
U4003,2025-02-02,Science,Monthly,11,2025-02-13,149
U3005,2025-02-04,English,Monthly,22,2025-02-26,149
U4114,2025-02-05,Mathematics,Term,54,2025-03-31,399
U4144,2025-02-06,Chemistry,Monthly,10,2025-02-16,149
U4199,2025-02-07,English,Term,14,2025-02-21,399
U4206,2025-02-07,Physics,Monthly,24,2025-03-03,149
U4316,2025-02-10,Physics,Monthly,20,2025-03-02,149
U4358,2025-02-10,Biology,Monthly,18,2025-02-28,149
U1272,2025-02-11,Mathematics,Term,34,2025-03-17,399
U4406,2025-02-12,Biology,Term,36,2025-03-20,399
U3932,2025-02-12,English,Term,31,2025-03-15,399
U2101,2025-02-15,Science,Monthly,8,2025-02-23,149
U4636,2025-02-17,English,Monthly,24,2025-03-13,149
U4685,2025-02-18,English,Term,35,2025-03-25,399
U1775,2025-02-19,Physics,Monthly,29,2025-03-20,149
U4748,2025-02-19,Biology,Term,21,2025-03-12,399
U4751,2025-02-19,Mathematics,Monthly,25,2025-03-16,149
U4796,2025-02-21,Mathematics,Monthly,29,2025-03-22,149
U4981,2025-02-25,Science,Monthly,12,2025-03-09,149
U5104,2025-02-28,Science,Monthly,25,2025-03-25,149
U5147,2025-03-01,English,Monthly,17,2025-03-18,149
U2737,2025-03-04,Mathematics,Monthly,23,2025-03-27,149
U1022,2025-03-09,Science,Term,19,2025-03-28,399
U5778,2025-03-12,Mathematics,Monthly,16,2025-03-28,149
U5807,2025-03-12,English,Monthly,7,2025-03-19,149
U6002,2025-03-16,Biology,Monthly,8,2025-03-24,149
U3815,2025-03-16,English,Monthly,7,2025-03-23,149
U1410,2025-03-19,English,Monthly,12,2025-03-31,149
