session_id,user_id,date,month,week,source,device,landing_page,pages_viewed,session_duration_sec,bounced,is_new_user,ab_group,converted
S00001,U0001,2024-10-01,2024-10,2024-W40,Email,Mobile,/pricing,2,150,0,1,,0
S00002,U0001,2024-10-01,2024-10,2024-W40,Organic,Tablet,/,2,150,0,0,,0
S00003,U0001,2024-10-01,2024-10,2024-W40,Organic,Desktop,/services,2,45,0,0,,0
S00004,U0002,2024-10-01,2024-10,2024-W40,Direct,Mobile,/tutors,3,115,0,1,,0
S00005,U0003,2024-10-01,2024-10,2024-W40,Organic,Desktop,/,2,112,0,1,,1
S00006,U0003,2024-10-01,2024-10,2024-W40,Direct,Desktop,/services,4,386,0,0,,0
S00007,U0004,2024-10-01,2024-10,2024-W40,Organic,Tablet,/,2,215,0,1,,0
S00008,U0005,2024-10-01,2024-10,2024-W40,Organic,Desktop,/services,3,367,0,1,,0
S00009,U0006,2024-10-01,2024-10,2024-W40,Organic,Mobile,/pricing,1,105,0,1,,0
S00010,U0007,2024-10-01,2024-10,2024-W40,Email,Mobile,/,2,295,0,1,,0
S00011,U0004,2024-10-01,2024-10,2024-W40,Social,Mobile,/,5,123,0,0,,0
S00012,U0007,2024-10-01,2024-10,2024-W40,Email,Mobile,/,5,156,0,0,,0
S00013,U0001,2024-10-01,2024-10,2024-W40,Organic,Mobile,/,4,195,0,0,,0
S00014,U0008,2024-10-01,2024-10,2024-W40,Organic,Desktop,/pricing,7,36,0,1,,0
S00015,U0008,2024-10-01,2024-10,2024-W40,Social,Desktop,/services,3,147,0,0,,0
S00016,U0009,2024-10-01,2024-10,2024-W40,Direct,Desktop,/contact,1,135,0,1,,0
S00017,U0010,2024-10-01,2024-10,2024-W40,Organic,Desktop,/,4,85,0,1,,0
S00018,U0011,2024-10-01,2024-10,2024-W40,Organic,Mobile,/,1,557,0,1,,0
S00019,U0012,2024-10-01,2024-10,2024-W40,Social,Desktop,/pricing,4,176,0,1,,0
S00020,U0004,2024-10-01,2024-10,2024-W40,Organic,Mobile,/pricing,2,71,0,0,,0
S00021,U0013,2024-10-01,2024-10,2024-W40,Organic,Desktop,/services,1,196,0,1,,0
S00022,U0014,2024-10-01,2024-10,2024-W40,Organic,Mobile,/,4,121,0,1,,0
S00023,U0015,2024-10-01,2024-10,2024-W40,Organic,Mobile,/,4,136,0,1,,0
S00024,U0006,2024-10-01,2024-10,2024-W40,Social,Mobile,/tutors,6,282,0,0,,0
S00025,U0015,2024-10-01,2024-10,2024-W40,Organic,Desktop,/,1,217,0,0,,0
S00026,U0011,2024-10-01,2024-10,2024-W40,Email,Desktop,/,3,357,0,0,,0
S00027,U0016,2024-10-01,2024-10,2024-W40,Email,Desktop,/services,4,458,0,1,,0
S00028,U0017,2024-10-01,2024-10,2024-W40,Organic,Desktop,/,7,94,0,1,,0
S00029,U0018,2024-10-01,2024-10,2024-W40,Email,Desktop,/about,5,187,0,1,,0
S00030,U0019,2024-10-01,2024-10,2024-W40,Direct,Tablet,/,5,162,0,1,,0
S00031,U0020,2024-10-01,2024-10,2024-W40,Direct,Tablet,/services,3,300,0,1,,0
S00032,U0011,2024-10-01,2024-10,2024-W40,Social,Mobile,/about,5,742,0,0,,0
S00033,U0019,2024-10-01,2024-10,2024-W40,Social,Desktop,/tutors,6,572,0,0,,0
S00034,U0021,2024-10-01,2024-10,2024-W40,Organic,Desktop,/,3,182,0,1,,0
S00035,U0022,2024-10-01,2024-10,2024-W40,Social,Desktop,/,3,190,0,1,,0
S00036,U0023,2024-10-01,2024-10,2024-W40,Direct,Mobile,/services,6,76,0,1,,0
S00037,U0018,2024-10-01,2024-10,2024-W40,Organic,Desktop,/,1,97,0,0,,0
S00038,U0024,2024-10-01,2024-10,2024-W40,Direct,Mobile,/,6,684,0,1,,0
S00039,U0025,2024-10-01,2024-10,2024-W40,Organic,Mobile,/services,2,258,0,1,,0
S00040,U0026,2024-10-01,2024-10,2024-W40,Organic,Desktop,/services,3,336,0,1,,0
S00041,U0027,2024-10-01,2024-10,2024-W40,Direct,Desktop,/tutors,1,250,0,1,,0
S00042,U0028,2024-10-01,2024-10,2024-W40,Organic,Mobile,/contact,5,375,0,1,,0
S00043,U0022,2024-10-02,2024-10,2024-W40,Social,Desktop,/pricing,2,122,0,0,,0
S00044,U0013,2024-10-02,2024-10,2024-W40,Organic,Desktop,/pricing,6,214,0,0,,0
S00045,U0029,2024-10-02,2024-10,2024-W40,Social,Tablet,/about,7,43,0,1,,0
S00046,U0030,2024-10-02,2024-10,2024-W40,Direct,Mobile,/about,3,68,0,1,,0
S00047,U0031,2024-10-02,2024-10,2024-W40,Organic,Desktop,/pricing,3,837,0,1,,0
S00048,U0032,2024-10-02,2024-10,2024-W40,Email,Mobile,/services,2,425,0,1,,0
S00049,U0033,2024-10-02,2024-10,2024-W40,Direct,Mobile,/,3,93,0,1,,0
S00050,U0011,2024-10-02,2024-10,2024-W40,Email,Desktop,/contact,3,140,0,0,,0
S00051,U0034,2024-10-02,2024-10,2024-W40,Organic,Desktop,/services,4,102,0,1,,0
S00052,U0033,2024-10-02,2024-10,2024-W40,Organic,Desktop,/,1,152,0,0,,0
S00053,U0035,2024-10-02,2024-10,2024-W40,Direct,Mobile,/contact,3,268,0,1,,0
S00054,U0036,2024-10-02,2024-10,2024-W40,Organic,Tablet,/services,1,194,0,1,,0
S00055,U0037,2024-10-02,2024-10,2024-W40,Paid,Desktop,/about,5,264,0,1,,0
S00056,U0038,2024-10-02,2024-10,2024-W40,Organic,Desktop,/services,5,189,0,1,,0
S00057,U0039,2024-10-02,2024-10,2024-W40,Organic,Mobile,/services,7,39,0,1,,0
S00058,U0040,2024-10-02,2024-10,2024-W40,Paid,Mobile,/services,1,242,0,1,,0
S00059,U0041,2024-10-02,2024-10,2024-W40,Social,Tablet,/,6,229,0,1,,0
S00060,U0042,2024-10-02,2024-10,2024-W40,Social,Mobile,/,7,75,0,1,,0
S00061,U0043,2024-10-02,2024-10,2024-W40,Paid,Mobile,/tutors,2,320,0,1,,0
S00062,U0037,2024-10-02,2024-10,2024-W40,Direct,Mobile,/,6,73,0,0,,0
S00063,U0032,2024-10-02,2024-10,2024-W40,Email,Mobile,/services,1,83,0,0,,0
S00064,U0044,2024-10-02,2024-10,2024-W40,Direct,Desktop,/tutors,5,313,0,1,,0
S00065,U0043,2024-10-02,2024-10,2024-W40,Social,Tablet,/,5,46,0,0,,0
S00066,U0045,2024-10-02,2024-10,2024-W40,Organic,Desktop,/tutors,1,173,0,1,,0
