session_id,date,month,device,source,ab_group,stage,reached
S00001,2024-10-01,2024-10,Mobile,Email,,landing,1
S00001,2024-10-01,2024-10,Mobile,Email,,services_view,1
S00001,2024-10-01,2024-10,Mobile,Email,,pricing_view,1
S00001,2024-10-01,2024-10,Mobile,Email,,cart_add,0
S00001,2024-10-01,2024-10,Mobile,Email,,checkout_start,0
S00001,2024-10-01,2024-10,Mobile,Email,,checkout_complete,0
S00002,2024-10-01,2024-10,Tablet,Organic,,landing,1
S00002,2024-10-01,2024-10,Tablet,Organic,,services_view,1
S00002,2024-10-01,2024-10,Tablet,Organic,,pricing_view,1
S00002,2024-10-01,2024-10,Tablet,Organic,,cart_add,0
S00002,2024-10-01,2024-10,Tablet,Organic,,checkout_start,0
S00002,2024-10-01,2024-10,Tablet,Organic,,checkout_complete,0
S00003,2024-10-01,2024-10,Desktop,Organic,,landing,1
S00003,2024-10-01,2024-10,Desktop,Organic,,services_view,0
S00003,2024-10-01,2024-10,Desktop,Organic,,pricing_view,0
S00003,2024-10-01,2024-10,Desktop,Organic,,cart_add,0
S00003,2024-10-01,2024-10,Desktop,Organic,,checkout_start,0
S00003,2024-10-01,2024-10,Desktop,Organic,,checkout_complete,0
S00004,2024-10-01,2024-10,Mobile,Direct,,landing,1
S00004,2024-10-01,2024-10,Mobile,Direct,,services_view,1
S00004,2024-10-01,2024-10,Mobile,Direct,,pricing_view,0
S00004,2024-10-01,2024-10,Mobile,Direct,,cart_add,1
S00004,2024-10-01,2024-10,Mobile,Direct,,checkout_start,0
S00004,2024-10-01,2024-10,Mobile,Direct,,checkout_complete,0
S00005,2024-10-01,2024-10,Desktop,Organic,,landing,1
S00005,2024-10-01,2024-10,Desktop,Organic,,services_view,1
S00005,2024-10-01,2024-10,Desktop,Organic,,pricing_view,0
S00005,2024-10-01,2024-10,Desktop,Organic,,cart_add,0
S00005,2024-10-01,2024-10,Desktop,Organic,,checkout_start,1
S00005,2024-10-01,2024-10,Desktop,Organic,,checkout_complete,1
S00006,2024-10-01,2024-10,Desktop,Direct,,landing,1
S00006,2024-10-01,2024-10,Desktop,Direct,,services_view,0
S00006,2024-10-01,2024-10,Desktop,Direct,,pricing_view,1
S00006,2024-10-01,2024-10,Desktop,Direct,,cart_add,0
S00006,2024-10-01,2024-10,Desktop,Direct,,checkout_start,1
S00006,2024-10-01,2024-10,Desktop,Direct,,checkout_complete,0
S00007,2024-10-01,2024-10,Tablet,Organic,,landing,1
S00007,2024-10-01,2024-10,Tablet,Organic,,services_view,1
S00007,2024-10-01,2024-10,Tablet,Organic,,pricing_view,0
S00007,2024-10-01,2024-10,Tablet,Organic,,cart_add,0
S00007,2024-10-01,2024-10,Tablet,Organic,,checkout_start,0
S00007,2024-10-01,2024-10,Tablet,Organic,,checkout_complete,0
S00008,2024-10-01,2024-10,Desktop,Organic,,landing,1
S00008,2024-10-01,2024-10,Desktop,Organic,,services_view,1
S00008,2024-10-01,2024-10,Desktop,Organic,,pricing_view,1
S00008,2024-10-01,2024-10,Desktop,Organic,,cart_add,0
S00008,2024-10-01,2024-10,Desktop,Organic,,checkout_start,0
S00008,2024-10-01,2024-10,Desktop,Organic,,checkout_complete,0
S00009,2024-10-01,2024-10,Mobile,Organic,,landing,1
S00009,2024-10-01,2024-10,Mobile,Organic,,services_view,0
S00009,2024-10-01,2024-10,Mobile,Organic,,pricing_view,1
S00009,2024-10-01,2024-10,Mobile,Organic,,cart_add,0
S00009,2024-10-01,2024-10,Mobile,Organic,,checkout_start,0
S00009,2024-10-01,2024-10,Mobile,Organic,,checkout_complete,0
S00010,2024-10-01,2024-10,Mobile,Email,,landing,1
S00010,2024-10-01,2024-10,Mobile,Email,,services_view,0
S00010,2024-10-01,2024-10,Mobile,Email,,pricing_view,0
S00010,2024-10-01,2024-10,Mobile,Email,,cart_add,0
S00010,2024-10-01,2024-10,Mobile,Email,,checkout_start,1
S00010,2024-10-01,2024-10,Mobile,Email,,checkout_complete,0
S00011,2024-10-01,2024-10,Mobile,Social,,landing,1
S00011,2024-10-01,2024-10,Mobile,Social,,services_view,0
S00011,2024-10-01,2024-10,Mobile,Social,,pricing_view,0
S00011,2024-10-01,2024-10,Mobile,Social,,cart_add,0
S00011,2024-10-01,2024-10,Mobile,Social,,checkout_start,0
S00011,2024-10-01,2024-10,Mobile,Social,,checkout_complete,0
S00012,2024-10-01,2024-10,Mobile,Email,,landing,1
S00012,2024-10-01,2024-10,Mobile,Email,,services_view,0
S00012,2024-10-01,2024-10,Mobile,Email,,pricing_view,0
S00012,2024-10-01,2024-10,Mobile,Email,,cart_add,0
S00012,2024-10-01,2024-10,Mobile,Email,,checkout_start,0
S00012,2024-10-01,2024-10,Mobile,Email,,checkout_complete,0
S00013,2024-10-01,2024-10,Mobile,Organic,,landing,1
S00013,2024-10-01,2024-10,Mobile,Organic,,services_view,1
S00013,2024-10-01,2024-10,Mobile,Organic,,pricing_view,0
S00013,2024-10-01,2024-10,Mobile,Organic,,cart_add,1
S00013,2024-10-01,2024-10,Mobile,Organic,,checkout_start,0
S00013,2024-10-01,2024-10,Mobile,Organic,,checkout_complete,0
S00014,2024-10-01,2024-10,Desktop,Organic,,landing,1
S00014,2024-10-01,2024-10,Desktop,Organic,,services_view,1
S00014,2024-10-01,2024-10,Desktop,Organic,,pricing_view,1
S00014,2024-10-01,2024-10,Desktop,Organic,,cart_add,0
S00014,2024-10-01,2024-10,Desktop,Organic,,checkout_start,0
S00014,2024-10-01,2024-10,Desktop,Organic,,checkout_complete,0
S00015,2024-10-01,2024-10,Desktop,Social,,landing,1
S00015,2024-10-01,2024-10,Desktop,Social,,services_view,0
S00015,2024-10-01,2024-10,Desktop,Social,,pricing_view,0
S00015,2024-10-01,2024-10,Desktop,Social,,cart_add,0
S00015,2024-10-01,2024-10,Desktop,Social,,checkout_start,0
S00015,2024-10-01,2024-10,Desktop,Social,,checkout_complete,0
S00016,2024-10-01,2024-10,Desktop,Direct,,landing,1
S00016,2024-10-01,2024-10,Desktop,Direct,,services_view,0
S00016,2024-10-01,2024-10,Desktop,Direct,,pricing_view,1
S00016,2024-10-01,2024-10,Desktop,Direct,,cart_add,0
S00016,2024-10-01,2024-10,Desktop,Direct,,checkout_start,0
S00016,2024-10-01,2024-10,Desktop,Direct,,checkout_complete,0
S00017,2024-10-01,2024-10,Desktop,Organic,,landing,1
S00017,2024-10-01,2024-10,Desktop,Organic,,services_view,1
S00017,2024-10-01,2024-10,Desktop,Organic,,pricing_view,1
S00017,2024-10-01,2024-10,Desktop,Organic,,cart_add,0
S00017,2024-10-01,2024-10,Desktop,Organic,,checkout_start,0
S00017,2024-10-01,2024-10,Desktop,Organic,,checkout_complete,0
S00018,2024-10-01,2024-10,Mobile,Organic,,landing,1
S00018,2024-10-01,2024-10,Mobile,Organic,,services_view,0
S00018,2024-10-01,2024-10,Mobile,Organic,,pricing_view,1
S00018,2024-10-01,2024-10,Mobile,Organic,,cart_add,0
S00018,2024-10-01,2024-10,Mobile,Organic,,checkout_start,0
S00018,2024-10-01,2024-10,Mobile,Organic,,checkout_complete,0
S00019,2024-10-01,2024-10,Desktop,Social,,landing,1
S00019,2024-10-01,2024-10,Desktop,Social,,services_view,0
S00019,2024-10-01,2024-10,Desktop,Social,,pricing_view,0
