order_id,session_id,user_id,date,month,subject,package,price,device,source,ab_group
ORD0001,S00005,U0003,2024-10-01,2024-10,Mathematics,Trial,49,Desktop,Organic,
ORD0002,S00074,U0015,2024-10-02,2024-10,English,Trial,49,Desktop,Organic,
ORD0003,S00075,U0051,2024-10-02,2024-10,English,Term,399,Desktop,Organic,
ORD0004,S00116,U0079,2024-10-03,2024-10,Physics,Monthly,149,Desktop,Email,
ORD0005,S00123,U0083,2024-10-03,2024-10,Mathematics,Trial,49,Desktop,Organic,
ORD0006,S00131,U0088,2024-10-04,2024-10,Science,Monthly,149,Mobile,Email,
ORD0007,S00136,U0092,2024-10-04,2024-10,Science,Trial,49,Mobile,Social,
ORD0008,S00167,U0056,2024-10-04,2024-10,English,Trial,49,Desktop,Organic,
ORD0009,S00179,U0120,2024-10-05,2024-10,Physics,Monthly,149,Desktop,Social,
ORD0010,S00189,U0004,2024-10-05,2024-10,English,Term,399,Desktop,Direct,
ORD0011,S00200,U0138,2024-10-05,2024-10,Physics,Monthly,149,Desktop,Email,
ORD0012,S00214,U0146,2024-10-05,2024-10,Science,Trial,49,Mobile,Email,
ORD0013,S00220,U0152,2024-10-06,2024-10,English,Monthly,149,Mobile,Email,
ORD0014,S00233,U0163,2024-10-06,2024-10,Physics,Monthly,149,Desktop,Organic,
ORD0015,S00243,U0168,2024-10-06,2024-10,English,Monthly,149,Desktop,Email,
ORD0016,S00270,U0190,2024-10-07,2024-10,Chemistry,Monthly,149,Desktop,Direct,
ORD0017,S00304,U0064,2024-10-08,2024-10,English,Term,399,Desktop,Email,
ORD0018,S00374,U0262,2024-10-09,2024-10,Mathematics,Monthly,149,Desktop,Organic,
ORD0019,S00382,U0269,2024-10-09,2024-10,Physics,Monthly,149,Mobile,Direct,
ORD0020,S00413,U0289,2024-10-10,2024-10,Science,Trial,49,Tablet,Direct,
ORD0021,S00459,U0327,2024-10-11,2024-10,Science,Term,399,Tablet,Email,
ORD0022,S00473,U0335,2024-10-12,2024-10,Mathematics,Trial,49,Mobile,Direct,
ORD0023,S00505,U0361,2024-10-12,2024-10,English,Monthly,149,Desktop,Direct,
ORD0024,S00525,U0373,2024-10-13,2024-10,Science,Trial,49,Desktop,Organic,
ORD0025,S00531,U0377,2024-10-13,2024-10,English,Monthly,149,Desktop,Email,
ORD0026,S00535,U0062,2024-10-13,2024-10,Science,Trial,49,Mobile,Organic,
ORD0027,S00540,U0384,2024-10-13,2024-10,Science,Monthly,149,Mobile,Email,
ORD0028,S00556,U0392,2024-10-13,2024-10,Science,Term,399,Desktop,Email,
ORD0029,S00582,U0413,2024-10-14,2024-10,Biology,Term,399,Desktop,Organic,
ORD0030,S00603,U0430,2024-10-14,2024-10,Biology,Trial,49,Desktop,Social,
ORD0031,S00636,U0455,2024-10-15,2024-10,Science,Trial,49,Desktop,Email,
ORD0032,S00647,U0185,2024-10-15,2024-10,Chemistry,Term,399,Desktop,Email,
ORD0033,S00665,U0472,2024-10-16,2024-10,Mathematics,Monthly,149,Desktop,Direct,
ORD0034,S00710,U0253,2024-10-17,2024-10,Physics,Monthly,149,Mobile,Organic,
ORD0035,S00755,U0528,2024-10-18,2024-10,English,Trial,49,Mobile,Social,
ORD0036,S00758,U0531,2024-10-18,2024-10,Chemistry,Trial,49,Mobile,Email,
ORD0037,S00781,U0550,2024-10-18,2024-10,Science,Term,399,Desktop,Social,
ORD0038,S00782,U0551,2024-10-18,2024-10,English,Monthly,149,Desktop,Email,
ORD0039,S00790,U0558,2024-10-18,2024-10,Chemistry,Trial,49,Desktop,Organic,
ORD0040,S00824,U0586,2024-10-19,2024-10,Physics,Trial,49,Tablet,Organic,
ORD0041,S00843,U0597,2024-10-20,2024-10,English,Term,399,Desktop,Organic,
ORD0042,S00850,U0603,2024-10-20,2024-10,Science,Monthly,149,Mobile,Direct,
ORD0043,S00853,U0605,2024-10-20,2024-10,Mathematics,Monthly,149,Mobile,Email,
ORD0044,S00877,U0621,2024-10-21,2024-10,Biology,Trial,49,Tablet,Organic,
ORD0045,S00879,U0622,2024-10-21,2024-10,Physics,Trial,49,Desktop,Direct,
ORD0046,S00880,U0623,2024-10-21,2024-10,Science,Monthly,149,Desktop,Direct,
ORD0047,S00882,U0484,2024-10-21,2024-10,English,Trial,49,Desktop,Email,
ORD0048,S00897,U0116,2024-10-21,2024-10,Mathematics,Monthly,149,Mobile,Organic,
ORD0049,S00932,U0661,2024-10-22,2024-10,Biology,Term,399,Desktop,Organic,
ORD0050,S00956,U0680,2024-10-22,2024-10,Mathematics,Term,399,Desktop,Organic,
